Date,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RGDP_FIJI,1.6316,1.7436,1.8744,2.0921,2.1453,2.1442,2.1821,2.1063,2.1472,2.4111,2.3702,2.5125,2.4851,2.3804,2.621,2.5221,2.6885,2.4951,2.5814,2.9399,3.1105,3.0263,3.2111,3.2947,3.4624,3.6326,3.8048,3.7188,3.7644,4.1112,4.038,4.1175,4.2474,4.2897,4.5238,4.6368,4.7229,4.6823,4.7306,4.665,4.8029,4.9328,5.0231,5.2563,,,,,,,
G_REAL_GROWTH_FIJI,,6.864427556,7.501720578,11.61438327,2.542899479,-0.05127488,1.767558996,-3.473717978,1.941793667,12.29042474,-1.696321181,6.003712767,-1.090547264,-4.213110136,10.10754495,-3.773368943,6.597676539,-7.193602381,3.458779207,13.88781281,5.802918467,-2.706960296,6.106466642,2.603469216,5.089993019,4.915665434,4.740406321,-2.260302775,1.226202001,9.212623526,-1.780502043,1.968796434,3.154826958,0.995903376,5.457258083,2.497899996,1.856884058,-0.859641322,1.031544327,-1.386716273,2.956055734,2.704615961,1.830603308,4.642551412,,,,,,,
RGDP_AUS,406.2,421.7,429.7,451.4,458,466.6,487.2,493.6,504.7,525.8,541,563.3,563.7,561,596.6,629.1,644.5,676.1,704.8,738.1,754.8,745.7,765.9,796.8,834.3,859.1,895.9,932.4,978.9,1019.7,1051.2,1078.7,1121.3,1155.4,1202.7,1240.4,1273.5,1331.4,1367.2,1388.3,1419.5,1456.3,1508.8,1543.9,,,,,,,
G_REAL_GROWTH_FIJI,,3.815854259,1.897083235,5.050034908,1.462117856,1.877729258,4.414916417,1.3136289,2.248784441,4.180701407,2.890833016,4.121996303,0.071010119,-0.47897818,6.345811052,5.447536038,2.447941504,4.903025601,4.244934181,4.724744608,2.262566048,-1.205617382,2.708864154,4.034469252,4.706325301,2.97255184,4.283552555,4.074115415,4.987129987,4.16794361,3.089143866,2.616057839,3.949198109,3.041112994,4.093820322,3.134613786,2.668494034,4.546525324,2.688898903,1.543300176,2.247352878,2.592462135,3.605026437,2.326352068,,,,,,,
REER_FIJI,,,,,,,,,,,145.523507,149.598124,150.22906,149.507794,151.545193,153.658357,138.165279,117.477293,99.757068,99.705548,100.466102,103.380059,103.720261,107.430565,107.701338,105.651249,106.050565,109.323742,92.983952,93.198896,90.232322,91.391752,91.669841,97.889979,99.843783,100,97.790079,99.500413,102.174897,90.552315,88.007182,92.155705,94.978416,95.888873,,,,,,,
REALOIL,20.55405205,24.02463548,25.29850082,26.72609571,86.06577118,77.87105527,74.27314126,75.54605144,71.67245045,150.3929864,158.6243008,136.9950727,119.5918344,108.3031198,100.5188801,93.09696443,47.28322223,58.62047639,45.70069516,52.87336823,64.38240053,52.05500949,49.65330938,42.52374793,39.37799656,41.31958427,47.53508405,43.92810417,29.35377638,39.50372406,60.00986032,50.29690549,50.76678199,57.46647313,73.15443168,100,116.7035873,125.5467556,164.9819554,105.3726615,132.6286028,169.2296109,167.3824424,163.493691,,,,,,,
CPI_FIJI,12.28184367,13.07642391,14.26828152,15.86878059,18.17304664,20.54926153,22.89201001,24.61560495,26.0950063,27.98536084,32.03316434,35.62088521,38.11946671,40.71415339,42.86037193,44.75033511,45.55116643,48.13108196,53.79049141,57.11977543,61.79866827,65.81394231,69.02765165,72.62164125,73.20261438,74.80029049,77.05156137,79.66594045,84.24110385,85.9114016,86.85548293,90.55918664,91.21278141,95.0617284,97.74872912,100,102.525,107.4578961,115.7603859,119.9918983,124.4182789,133.4789182,138.0384945,142.0528243,,,,,,,
SUGAROUTPUT_FIJI,,,,,,,,,,,,,,,,,,,,,4016,3380,3533,3704,4064,4110.2,4380,3280,2098,3958,3786,2805,3422,2610,3001,2789,3226,2478,2321,2247,1778,2096,1640,1760,,,,,,,
SUGAROUTPUT_FIJI_MISSING,,,,,,,,,,,,,,,,,,,,,4016,3380,3533,3704,4064,4110.2,4380,3280,,3958,3786,2805,3422,2610,3001,,3226,2478,2321,2247,1778,2096,1640,1760,,,,,,,
